pairs: 282
SYSTEM_POWER = 0x00010081
SYS_PWR = 0x00010081
SYSTEM_SLEEP = 0x00010082
SYS_SLEEP = 0x00010082
SYSTEM_WAKE_UP = 0x00010083
SYS_WAKE = 0x00010083
A = 0x00070004
B = 0x00070005
C = 0x00070006
D = 0x00070007
E = 0x00070008
F = 0x00070009
G = 0x0007000a
H = 0x0007000b
I = 0x0007000c
J = 0x0007000d
K = 0x0007000e
L = 0x0007000f
M = 0x00070010
N = 0x00070011
O = 0x00070012
P = 0x00070013
Q = 0x00070014
R = 0x00070015
S = 0x00070016
T = 0x00070017
U = 0x00070018
V = 0x00070019
W = 0x0007001a
X = 0x0007001b
Y = 0x0007001c
Z = 0x0007001d
NUMBER_1 = 0x0007001e
EXCLAMATION = 0x0207001e
NUMBER_2 = 0x0007001f
AT_SIGN = 0x0207001f
NUMBER_3 = 0x00070020
HASH = 0x02070020
POUND = 0x02070020
NUMBER_4 = 0x00070021
DOLLAR = 0x02070021
NUMBER_5 = 0x00070022
PERCENT = 0x02070022
NUMBER_6 = 0x00070023
CARET = 0x02070023
NUMBER_7 = 0x00070024
AMPERSAND = 0x02070024
NUMBER_8 = 0x00070025
ASTERISK = 0x02070025
NUMBER_9 = 0x00070026
LEFT_PARENTHESIS = 0x02070026
NUMBER_0 = 0x00070027
RIGHT_PARENTHESIS = 0x02070027
RETURN = 0x00070028
ESC = 0x00070029
BACKSPACE = 0x0007002a
TAB = 0x0007002b
SPACE = 0x0007002c
MINUS = 0x0007002d
UNDERSCORE = 0x0207002d
EQUAL = 0x0007002e
PLUS = 0x0207002e
LEFT_BRACKET = 0x0007002f
LEFT_BRACE = 0x0207002f
RIGHT_BRACKET = 0x00070030
RIGHT_BRACE = 0x02070030
BACKSLASH = 0x00070031
PIPE = 0x02070031
NON_US_HASH = 0x00070032
TILDE2 = 0x02070032
SEMICOLON = 0x00070033
COLON = 0x02070033
SINGLE_QUOTE = 0x00070034
DOUBLE_QUOTES = 0x02070034
GRAVE = 0x00070035
TILDE = 0x02070035
COMMA = 0x00070036
LESS_THAN = 0x02070036
PERIOD = 0x00070037
GREATER_THAN = 0x02070037
SLASH = 0x00070038
QUESTION = 0x02070038
CAPSLOCK = 0x00070039
F1 = 0x0007003a
F2 = 0x0007003b
F3 = 0x0007003c
F4 = 0x0007003d
F5 = 0x0007003e
F6 = 0x0007003f
F7 = 0x00070040
F8 = 0x00070041
F9 = 0x00070042
F10 = 0x00070043
F11 = 0x00070044
F12 = 0x00070045
PRINTSCREEN = 0x00070046
SCROLLLOCK = 0x00070047
PAUSE_BREAK = 0x00070048
INSERT = 0x00070049
HOME = 0x0007004a
PG_UP = 0x0007004b
DELETE = 0x0007004c
DEL = 0x0007004c
END = 0x0007004d
PG_DN = 0x0007004e
RIGHT = 0x0007004f
LEFT = 0x00070050
DOWN = 0x00070051
